# FILLET Exp4 with HEXTOR - using cloudir = -6.3 to stay consistent with Ben2 and Ben3
# Compile all cases into a list

# Name of benchmark/experiment: Experiment 4
# Describe how ice line latitude is determined: ice line occurs if zonal average temperature is less than or equal to 263

# Columns of data
# Case = case number (0 -> total number of cases in experiment)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = diffusion coefficient
# OLR = global, annual mean outgoing longwave radiation

# Examples for IceLine max and min:
# Polar caps: IceLineNMax = 90, IceLineNMin = 60, IceLineSMax = -60, IceLineSMin = -90
# Snowball state: IceLineNMax = 90, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -90
# Ice free state: IceLineNMax = 90, IceLineNMin = 90, IceLineSMax = -90, IceLineSMin = -90
# Ice belt: IceLineNMax = 30, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -30
# Note ice belt doesn't really have "edges" at 0 deg, but record as 0 anyway to
# keep the columns the same length

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLRglob
0 1.00 23.5      1.0 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
1 1.00 23.5      1.3 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
2 1.00 23.5      1.6 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
3 1.00 23.5      2.0 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
4 1.00 23.5      2.6 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
5 1.00 23.5      3.2 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
6 1.00 23.5      4.1 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
7 1.00 23.5      5.2 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
8 1.00 23.5      6.6 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
9 1.00 23.5      8.3 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
10 1.00 23.5     10.5 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
11 1.00 23.5     13.3 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
12 1.00 23.5     16.8 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
13 1.00 23.5     21.2 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
14 1.00 23.5     26.8 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
15 1.00 23.5     33.9 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
16 1.00 23.5     42.9 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
17 1.00 23.5     54.3 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
18 1.00 23.5     68.7 223.11 90.0  0.0    0.0 -90.00 0.50 131.61
19 1.00 23.5     86.9 223.52 90.0  0.0    0.0 -90.00 0.50 131.85
20 1.00 23.5    109.9 224.21 90.0  0.0    0.0 -90.00 0.50 132.25
21 1.00 23.5    138.9 224.73 90.0  0.0    0.0 -90.00 0.50 132.55
22 1.00 23.5    175.8 225.19 90.0  0.0    0.0 -90.00 0.50 132.83
23 1.00 23.5    222.3 225.72 90.0  0.0    0.0 -90.00 0.50 133.17
24 1.00 23.5    281.2 226.35 90.0  0.0    0.0 -90.00 0.50 133.57
25 1.00 23.5    355.6 226.83 90.0  0.0    0.0 -90.00 0.50 133.88
26 1.00 23.5    449.8 227.42 90.0  0.0    0.0 -90.00 0.50 134.28
27 1.00 23.5    569.0 228.08 90.0  0.0    0.0 -90.00 0.50 134.72
28 1.00 23.5    719.7 228.35 90.0  0.0    0.0 -90.00 0.50 134.92
29 1.00 23.5    910.3 229.47 90.0  0.0    0.0 -90.00 0.50 135.70
30 1.00 23.5   1151.4 230.30 90.0  0.0    0.0 -90.00 0.50 136.30
31 1.00 23.5   1456.3 230.95 90.0  0.0    0.0 -90.00 0.50 136.77
32 1.00 23.5   1842.1 231.52 90.0  0.0    0.0 -90.00 0.50 137.18
33 1.00 23.5   2330.0 232.02 90.0  0.0    0.0 -90.00 0.50 137.54
34 1.00 23.5   2947.1 232.86 90.0  0.0    0.0 -90.00 0.50 138.16
35 1.00 23.5   3727.6 233.89 90.0  0.0    0.0 -90.00 0.50 138.95
36 1.00 23.5   4714.9 234.77 90.0  0.0    0.0 -90.00 0.50 139.63
37 1.00 23.5   5963.6 235.79 90.0  0.0    0.0 -90.00 0.50 140.43
38 1.00 23.5   7543.1 236.03 90.0  0.0    0.0 -90.00 0.50 140.61
39 1.00 23.5   9541.0 242.60 90.0  0.0    0.0 -90.00 0.50 148.25
40 1.00 23.5  12067.9 242.60 90.0  0.0    0.0 -90.00 0.50 148.25
41 1.00 23.5  15264.2 242.60 90.0  0.0    0.0 -90.00 0.50 148.25
42 1.00 23.5  19307.0 307.92 90.0 90.0  -90.0 -90.00 0.50 275.41
43 1.00 23.5  24420.5 309.74 90.0 90.0  -90.0 -90.00 0.50 276.03
44 1.00 23.5  30888.4 311.18 90.0 90.0  -90.0 -90.00 0.50 276.47
45 1.00 23.5  39069.4 312.39 90.0 90.0  -90.0 -90.00 0.50 276.81
46 1.00 23.5  49417.1 314.48 90.0 90.0  -90.0 -90.00 0.50 277.33
47 1.00 23.5  62505.5 316.15 90.0 90.0  -90.0 -90.00 0.50 277.69
48 1.00 23.5  79060.4 316.15 90.0 90.0  -90.0 -90.00 0.50 277.69
49 1.00 23.5 100000.0 322.16 90.0 90.0  -90.0 -90.00 0.50 278.39
50 1.00 23.5 100000.0 322.16 90.0 90.0  -90.0 -90.00 0.50 278.39
51 1.00 23.5  79060.4 316.15 90.0 90.0  -90.0 -90.00 0.50 277.69
52 1.00 23.5  62505.5 316.15 90.0 90.0  -90.0 -90.00 0.50 277.69
53 1.00 23.5  49417.1 314.48 90.0 90.0  -90.0 -90.00 0.50 277.33
54 1.00 23.5  39069.4 312.39 90.0 90.0  -90.0 -90.00 0.50 276.81
55 1.00 23.5  30888.4 311.18 90.0 90.0  -90.0 -90.00 0.50 276.47
56 1.00 23.5  24420.5 309.74 90.0 90.0  -90.0 -90.00 0.50 276.03
57 1.00 23.5  19307.0 307.92 90.0 90.0  -90.0 -90.00 0.50 275.41
58 1.00 23.5  15264.2 305.55 90.0 90.0  -90.0 -90.00 0.50 274.54
