# FILLET Exp2a with HEXTOR - using cloudir = -6.3 to stay consistent with Ben2 and Ben3
# Compile all cases into a list

# Name of benchmark/experiment: Experiment 2a
# Describe how ice line latitude is determined: ice line occurs if zonal average temperature is less than or equal to 263

# Columns of data
# Case = case number (0 -> total number of cases in experiment)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = diffusion coefficient
# OLR = global, annual mean outgoing longwave radiation

# Examples for IceLine max and min:
# Polar caps: IceLineNMax = 90, IceLineNMin = 60, IceLineSMax = -60, IceLineSMin = -90
# Snowball state: IceLineNMax = 90, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -90
# Ice free state: IceLineNMax = 90, IceLineNMin = 90, IceLineSMax = -90, IceLineSMin = -90
# Ice belt: IceLineNMax = 30, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -30
# Note ice belt doesn't really have "edges" at 0 deg, but record as 0 anyway to
# keep the columns the same length

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLRglob
0 0.83  0.0    280.0 212.53 90.0  0.0    0.0 -90.00 0.50 109.01
1 0.83 10.0    280.0 212.48 90.0  0.0    0.0 -90.00 0.50 109.09
2 0.83 20.0    280.0 212.32 90.0  0.0    0.0 -90.00 0.50 109.28
3 0.83 30.0    280.0 212.27 90.0  0.0    0.0 -90.00 0.50 109.93
4 0.83 40.0    280.0 212.48 90.0  0.0    0.0 -90.00 0.50 111.26
5 0.83 50.0    280.0 213.96 90.0  0.0    0.0 -90.00 0.50 114.86
6 0.83 60.0    280.0 216.00 90.0  0.0    0.0 -90.00 0.50 119.03
7 0.83 70.0    280.0 217.43 90.0  0.0    0.0 -90.00 0.50 121.80
8 0.83 80.0    280.0 218.49 90.0  0.0    0.0 -90.00 0.50 123.75
9 0.83 90.0    280.0 218.87 90.0  0.0    0.0 -90.00 0.50 124.46
10 0.85  0.0    280.0 214.12 90.0  0.0    0.0 -90.00 0.50 111.78
11 0.85 10.0    280.0 214.07 90.0  0.0    0.0 -90.00 0.50 111.87
12 0.85 20.0    280.0 213.93 90.0  0.0    0.0 -90.00 0.50 112.09
13 0.85 30.0    280.0 213.92 90.0  0.0    0.0 -90.00 0.50 112.82
14 0.85 40.0    280.0 214.40 90.0  0.0    0.0 -90.00 0.50 114.66
15 0.85 50.0    280.0 215.95 90.0  0.0    0.0 -90.00 0.50 118.32
16 0.85 60.0    280.0 218.26 90.0  0.0    0.0 -90.00 0.50 122.92
17 0.85 70.0    280.0 219.76 90.0  0.0    0.0 -90.00 0.50 125.79
18 0.85 80.0    280.0 221.50 90.0  0.0    0.0 -90.00 0.50 128.95
19 0.85 90.0    280.0 222.13 90.0  0.0    0.0 -90.00 0.50 130.11
20 0.87  0.0    280.0 215.77 90.0  0.0    0.0 -90.00 0.50 114.70
21 0.87 10.0    280.0 215.73 90.0  0.0    0.0 -90.00 0.50 114.81
22 0.87 20.0    280.0 215.61 90.0  0.0    0.0 -90.00 0.50 115.05
23 0.87 30.0    280.0 215.64 90.0  0.0    0.0 -90.00 0.50 115.86
24 0.87 40.0    280.0 216.30 90.0  0.0    0.0 -90.00 0.50 118.04
25 0.87 50.0    280.0 218.60 90.0  0.0    0.0 -90.00 0.50 123.01
26 0.87 60.0    280.0 220.52 90.0  0.0    0.0 -90.00 0.50 126.86
27 0.87 70.0    280.0 222.81 90.0  0.0    0.0 -90.00 0.50 131.12
28 0.87 80.0    280.0 224.27 90.0  0.0    0.0 -90.00 0.50 133.81
29 0.87 90.0    280.0 224.74 90.0  0.0    0.0 -90.00 0.50 134.66
30 0.89  0.0    280.0 217.48 90.0  0.0    0.0 -90.00 0.50 117.78
31 0.89 10.0    280.0 217.45 90.0  0.0    0.0 -90.00 0.50 117.89
32 0.89 20.0    280.0 217.35 90.0  0.0    0.0 -90.00 0.50 118.16
33 0.89 30.0    280.0 217.43 90.0  0.0    0.0 -90.00 0.50 119.07
34 0.89 40.0    280.0 218.53 90.0  0.0    0.0 -90.00 0.50 122.09
35 0.89 50.0    280.0 220.86 90.0  0.0    0.0 -90.00 0.50 127.04
36 0.89 60.0    280.0 222.95 90.0  0.0    0.0 -90.00 0.50 131.12
37 0.89 70.0    280.0 225.61 90.0  0.0    0.0 -90.00 0.50 136.06
38 0.89 80.0    280.0 227.15 90.0  0.0    0.0 -90.00 0.50 138.91
39 0.89 90.0    280.0 227.62 90.0  0.0    0.0 -90.00 0.50 139.76
40 0.91  0.0    280.0 219.20 90.0  0.0    0.0 -90.00 0.50 120.88
41 0.91 10.0    280.0 219.18 90.0  0.0    0.0 -90.00 0.50 121.00
